feature_set,predictor,is_robust_fatigue_predictor,allowed
F3,daily_load_log1p,false,true
F3,daily_load_sum_7d_log1p,false,true
F3,daily_load_sum_28d_log1p,false,true
F3,fatigue_lag1,false,true
F3,readiness_lag1,false,true
F3,fatigue_mean_prior_7d,false,true
F3,fatigue_mean_prior_28d,false,true
F3,readiness_mean_prior_7d,false,true
F3,readiness_mean_prior_28d,false,true
F3,session_recorded,false,true
F3,session_count,false,true
F3,session_duration_minutes_log1p,false,true
F3,session_duration_sum_7d_log1p,false,true
F3,session_duration_sum_28d_log1p,false,true
F3,wellness_report_present_lag1,false,true
F3,wellness_report_count_prior_7d,false,true
F3,wellness_report_count_prior_28d,false,true
F3,daily_load_robust_z_prior28,false,true
F3,daily_load_robust_available,false,true
F3,fatigue_lag1_robust_z_prior,true,true
F3,fatigue_robust_available,false,true
F3,readiness_lag1_robust_z_prior,false,true
F3,readiness_robust_available,false,true
